,Amegilla quadrifasciata,Anaspis cf. canariensis,Anthophora alluaudi,Anthophora orotavae,Apis mellifera,Aprostocetus occidentalis,Attalus rugifrons,Blaesoxipha sp. 1,Bruchidius wollastoni,Camponotus feae,Chalicodoma canescens,Chetogena acuminata,Chloropidae sp. 4,Empididae sp. 1,Estheria simonyi,Eumerus latitarsis,Eupelmus sp.,Eupelmus testaceiventris,Eurytoma sp. 2,Exetastes segmentarius,Lasioglossum loetum,Lasioglossum viride,Lucilia sericata,Musca domestica,Myopites nigrescens,Nyctia lugubris,Osmia latreillei,Pieris rapae,Plagiolepis schmitzii,Sarcophagidae sp. 5,Sarcophagidae sp. 8,Scaeva albomaculata,Sciaridae sp. 1,Tachina canariensis,Thyridanthrax indigenus,Thysanoptera sp. 1,Thysanoptera sp. 2,Trupanea augur,Urelliosoma guimari
Argyranthemum frutescens,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,4,1,33,0,0,0
Asphaltklee bituminosa,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphorbia balsamifera (f),0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,0
Euphorbia balsamifera (m),0,9,0,0,0,0,0,0,0,14,0,0,1,3,0,17,0,0,0,0,4,1,0,0,0,0,0,0,11,0,0,0,0,0,21,6,0,0,0
Euphorbia lamarckii,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
Fagonia albiflora,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Kickxia scoparia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Launaea arborescens,0,0,1,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,1,1,5,0,0,0,0,0,1,0,5,0,1
Lycium intricatum,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Periploca laevigata,0,0,0,0,0,11,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
Phagnalon saxatile,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,3,2,1,0,3,0,0,0,2,0,0,0,0,0,1,0,11,1,0
Rubia fruticosa,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
Salvia aegyptiaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
