,Agromyzidae sp. 1,Ammophila terminata,Anaspis proteus,Anthophora alluaudi,Apis mellifera,Aprostocetus sp. 2,Attagenus wollastoni,Attalus ruficollis,Blaesoxipha sp. 1,Camponotus feae,Chetogena acuminata,Chloropidae sp. 5,Chloropidae sp. 6,Chrysomya albiceps,Dinarmoides spilopterus,Eristalinus aeneus,Eristalinus taeniops,Eristalis tenax,Euderus sp.,Fannia sp.,Gnaphosidae sp. 1,Holepyris sp.,Lasioglossum loetum,Lasioglossum viride,Leptochilus eatoni,Lucilia sericata,Meligethes cf. canariensis,Monomorium subopacum,Mordellistena cf. canariensis,Musca domestica,Myopites nigrescens,Nomioides fortunatus,Oscinella sp. 1,Oscinella sp. 2,Oxyopes cf. kraepelinorum,Phyto discrepans,Plagiolepis schmitzii,Plagiolepis sp. 2,Platypalpus sp. 2,Pteromalus sp. 4 ,Sarcophagidae sp. 5,Sarcophagidae sp. 8,Scenopinus sp.,Sciaridae sp. 1,Sibinia sericea,Synthesomyia nudiseta,Syritta pipiens,Themnothorax hesperius,Thysanoptera sp. 1,Thysanoptera sp. 2,Thysanoptera sp. 3,Torymoides lindbergi,Trixoscelis sp.,Urelliosoma guimari
Argyranthemum frutescens,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,3,0,4,0,0,0,0,0,0,1,1,28,45,2,0,1,0
Euphorbia balsamifera,2,0,15,0,1,0,0,1,0,29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0
Euphorbia lamarckii,0,0,2,0,4,1,0,0,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,3,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Fagonia albiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Frankenia laevis,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Helianthemum canariensis,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Launaea arborescens,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3
Lotus sessilifolius,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lycium intricatum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Periploca laevigata,0,0,0,0,0,0,0,0,0,12,0,1,1,35,0,0,0,0,0,3,0,0,0,0,0,14,0,1,0,3,0,0,0,0,0,0,0,1,0,0,4,2,1,5,0,0,0,0,0,0,0,0,0,0
Satureja kuegleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Schizogyne sericea,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0
