,Ceratina smaragdula,Lasioglossum imbrex,Proconura migratoria,Hylaeus sp,Ceratina arizonensis,Diptera 3,Braconidae sp,Toxomerus marginatus,Stator sp,Eulophidae sp.,Chaetogaedia monticola,Lampides boeticus,Scolytidae sp,Cicadellidae sp,Tachysphex sp,Diptera 4,Polistes aurifer,Diptera 1,Megachile sp,Nysius sp,Coccinellidae sp,Eucelatoria armigera,Diptera 2,Delta campaniforme esuriens,Chrysomelidae sp,Archytas cirphis,Tachinidae sp
Melanthera integrifolia,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
Myoporum sandwicense,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
Waltheria indica,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
Boerhavia repens,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Jacquemontia sandwicensis,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Euphorbia degeneri,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Sida fallax,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Santalum ellipticum,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sesbania tomentosa,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Scaevola taccada,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vitex rotundifolia,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Helitropium anomalum,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tribulus cistoides,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuscuta sandwichiana,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaevola coriacea,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
