,Cantharidae sp,Cantharidae sp,Cantharidae sp,Coccinellidae sp,Allograpta sp,Anthomyiidae sp,Anthomyiidae sp,Asarkina sp,Betasyrphus serarius,Bibionidae sp,Bibionidae sp,Bombyliidae ,Bombyliidae ,Bombyliidae ,Bombyliidae ,Lucilia sp,Lucilia   sericata,Calliphoridae sp,Linnaemya comta,Chalcosyrphus sp,Cheilosia sp,Cheilosia sp,Cheilosia sp,Conopidae sp,Conopidae sp,Conopidae sp,Episyrphus balteatus,Eriozona sp,Eristalis sp,Eristalis sp,Eristalis sp,Eristalis tenax,Helophilus sp,Lauxaniidae sp,Megasyrphus sp,Melangyna sp,Melanostoma orientale,Meliscaev sp,Metasyrphus nitens,Muscidae sp,Hydrotaea sp,Musca sp,Helina sp,Muscidae sp,Muscidae sp,Anthomyiidae sp,Muscidae sp,Helina sp,Helina sp,Helina sp,Anthomyiidae sp,Muscidae sp,Odontomyia sp,Paragus sp,Paragus sp,Platycheirus sp,Platycheirus sp,Platycheirus sp,Rhingia binotata,Sarcophagidae sp,Sarcophagidae sp,Sarcophagidae sp,Sepsidae sp,Sepsidae sp,Sericomyia sp,Sphaerophoria sp,Sphaerophoria sp,Stratiomyidae sp,Stratiomyidae sp,Syrphid sp,Syrphid sp,Syrphid sp,Syrphid sp,Syrphid sp,Syrphid sp,Syrphid sp,Syrphid sp,Syrphus ribesii,Syrphus sp,Tachinidae sp,Peleteria acutiforceps,Tachinidae sp,Tachinidae sp,Tachinidae sp,Exorista sp,Tachinidae sp,Macquartiini sp,Mydeae sp,Tachinidae sp,Tachinidae sp,Meigenia sp,Graphomya sp,Tephritidae sp,Tephritidae sp,Volucella sp,Vespidae sp,Apoidea sp,Ammophila sp,Anthidium rubopunctatum,Anthidium sp,Anthophora sp,Andrena sp,Anthophora sp,Colletes sp,Anthophora sp,Andrena sp,Apis cerana,Bombus festivus,Bombus lucorum,Bombus richardsi,Bombus sp,Bombus sp,Bombus trifasciatus,Camponotus compressus,Hylaeus sp,Formicidae sp,Halictidae sp,Halictidae sp,Halictidae sp,Halictidae sp,Halictidae sp,Halictus sp,Halictus sp,Halictus sp,Halictus sp,Halictus sp,Halictus yunnanicus,Ceratina  sp,Hylaeus sp,Sphecidae sp,Ichneumon sp,Ichneumon sp,Ichneumon sp,Lasioglossum kryopetrosum,Lasioglossum sp,Lasioglossum sp,Lasioglossum sp,Lasioglossum sp,Lasioglossum sp,Lasioglossum virideglaucum,Scolidae sp,Scolidae sp,Tenthredinidae sp,Argidae sp,Aporia sp,Colias fieldi,Crambidae sp,Crambidae sp,Crambidae sp,Crambidae sp,Crambidae sp,Geometridae sp,Hesperiidae sp,Hesperiidae sp,Hesperiidae sp,Hesperiidae sp,Lycaenidae sp,Lycaenidae sp,Lycaenidae/Celastrina sugitanii,Nymphalidae sp,Pieridae sp,Pieridae sp,Pyralidae sp,Miridae sp,Miridae sp
Pleurospermum davidii,0,0,0,1,0,31,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,65,4,1,0,0,0,0,0,0,0,4,0,3,0,7,0,0,2,0,12,0,6,0,5,4,0,3,8,0,0,0,0,0,3,0,0,0,0,0,0,0,2,12,0,0,0,0,2,0,7,0,0,0,0,0,0,0,3,0,4,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Aster oreophilus,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,7,0,20,58,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Cimicifuga yunnanensis,1,0,0,0,0,150,0,4,3,0,9,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,13,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daucus catota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Potentilla lancinata,0,0,0,0,0,0,0,1,0,0,0,0,8,8,6,1,0,2,2,0,2,16,0,0,0,0,2,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,0,0,5,0,0,0,0,0,2,2,8,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0
Allium wallichii,0,2,0,0,0,4,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,2,0,0,0,0,0,0,0,2,0,12,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Polygonum runcinatum,0,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Polygonum macrophyllum,0,0,0,0,0,7,0,0,0,0,13,0,0,0,0,6,12,3,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Cirsium eriophoroides,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,79,0,7,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,6,0,0,0,0
Polygonum sinomontanum,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,9,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
