,Amegilla canifrons,Anaspis proteus,Anthophora alluaudi,Apis mellifera,Attalus pallipes,Aulacoderus canariensis,Bracon sp.,Camponotus feae,Chloropidae sp.,Cryptocephalus gounellei,Dasytes subaenescens,Elasmus platyedrae,Eristalinus aeneus,Estheria simonyi,Eumerus latitarsis,Geometridae sp.,Lasioglossum loetum,Lasioglossum viride,Leptochilus cruentatus,Leptochilus eatoni,Malthinus mutabilis,Meligethes canariensis,Musca domestica,Phthiria simonyi,Plagiolepis sp. 2,Pteromalus sp. 1 ,Pteromalus sp. 4 ,Sciaridae sp.,Syritta pipiens,Tethina marmorata,Themnothorax hesperius,Thomisus cf. onustus,Thysanoptera sp. 1,Thysanoptera sp. 2,Thysanoptera sp. 7
Argyranthemum frutescens,0,0,0,0,0,1,0,7,0,0,5,1,1,0,0,0,0,11,1,0,0,4,0,0,0,2,2,0,1,0,0,0,9,13,11
Ceballosia fruticosa,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,1,0,0,0,0,0,0,0,0,0,0
Euphorbia balsamifera (f),0,0,0,0,0,0,0,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
Euphorbia balsamifera (m),0,21,0,0,1,0,1,20,1,1,2,0,0,1,8,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,26,0,17
Euphorbia lamarckii,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fagonia albiflora,0,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
Launaea arborescens,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycium intricatum,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauplius aquaticus,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Neochamaelea pulverulenta,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Periploca laevigata,0,1,0,1,0,0,0,49,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Rubia fruticosa,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Schizogyne sericea,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
