,comparison,difference,.lower,.upper,.width,.point,.interval,group1,group2,id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Coleoptera.A - Bee.A,-0.076446923,-0.0837266,-0.070019427,0.95,mode,hdi,Coleoptera.A,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Diptera.A - Bee.A,-0.081789558,-0.087709599,-0.076978512,0.95,mode,hdi,Diptera.A,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Hymenoptera.A - Bee.A,-0.068847412,-0.07582544,-0.063403253,0.95,mode,hdi,Hymenoptera.A,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Lepidoptera.A - Bee.A,-0.085260362,-0.092175153,-0.078730855,0.95,mode,hdi,Lepidoptera.A,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Syrphidae.A - Bee.A,-0.08782736,-0.094897849,-0.081995476,0.95,mode,hdi,Syrphidae.A,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Coleoptera.B - Bee.B,-0.014628618,-0.022209822,-0.003495288,0.95,mode,hdi,Coleoptera.B,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Diptera.B - Bee.B,-0.018065636,-0.025482299,-0.011179502,0.95,mode,hdi,Diptera.B,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Lepidoptera.B - Bee.B,-0.015326043,-0.025622666,-0.005668193,0.95,mode,hdi,Lepidoptera.B,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Syrphidae.B - Bee.B,-0.013852084,-0.02441909,-0.001943925,0.95,mode,hdi,Syrphidae.B,Bee.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Coleoptera.C - Bee.C,-0.005022213,-0.007961664,-0.001495502,0.95,mode,hdi,Coleoptera.C,Bee.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Diptera.C - Bee.C,-0.006272901,-0.009427209,-0.003656559,0.95,mode,hdi,Diptera.C,Bee.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Hymenoptera.C - Bee.C,-0.006358265,-0.009720807,-0.00312372,0.95,mode,hdi,Hymenoptera.C,Bee.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Lepidoptera.C - Bee.C,-0.008354303,-0.01195994,-0.004644622,0.95,mode,hdi,Lepidoptera.C,Bee.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Lepidoptera.D - Bee.D,-0.008048543,-0.014904336,-0.000216767,0.95,mode,hdi,Lepidoptera.D,Bee.D,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Syrphidae.E - Bee.E,0.021092991,0.002814755,0.034286161,0.95,mode,hdi,Syrphidae.E,Bee.E,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Hymenoptera.A - Coleoptera.A,0.008353931,0.000199857,0.01506238,0.95,mode,hdi,Hymenoptera.A,Coleoptera.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Lepidoptera.A - Coleoptera.A,-0.008079348,-0.015681721,-0.000557602,0.95,mode,hdi,Lepidoptera.A,Coleoptera.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Syrphidae.A - Coleoptera.A,-0.011138455,-0.019526176,-0.004708055,0.95,mode,hdi,Syrphidae.A,Coleoptera.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Hymenoptera.B - Coleoptera.B,0.018008317,0.007788735,0.025762373,0.95,mode,hdi,Hymenoptera.B,Coleoptera.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Hymenoptera.A - Diptera.A,0.012675704,0.007096947,0.018965544,0.95,mode,hdi,Hymenoptera.A,Diptera.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Syrphidae.A - Diptera.A,-0.006240171,-0.011959038,-0.000606162,0.95,mode,hdi,Syrphidae.A,Diptera.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Hymenoptera.B - Diptera.B,0.022812225,0.014828954,0.029122477,0.95,mode,hdi,Hymenoptera.B,Diptera.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Syrphidae.C - Diptera.C,0.004114267,0.000704232,0.007165205,0.95,mode,hdi,Syrphidae.C,Diptera.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Syrphidae.E - Diptera.E,0.02625511,0.012514826,0.039533895,0.95,mode,hdi,Syrphidae.E,Diptera.E,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Lepidoptera.A - Hymenoptera.A,-0.015746812,-0.023149742,-0.008864365,0.95,mode,hdi,Lepidoptera.A,Hymenoptera.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Syrphidae.A - Hymenoptera.A,-0.019802686,-0.026085608,-0.012090204,0.95,mode,hdi,Syrphidae.A,Hymenoptera.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Lepidoptera.B - Hymenoptera.B,-0.018253007,-0.029460515,-0.009360035,0.95,mode,hdi,Lepidoptera.B,Hymenoptera.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Syrphidae.B - Hymenoptera.B,-0.016814783,-0.028232431,-0.004811573,0.95,mode,hdi,Syrphidae.B,Hymenoptera.B,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Syrphidae.C - Hymenoptera.C,0.004123296,0.000237966,0.007579811,0.95,mode,hdi,Syrphidae.C,Hymenoptera.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Syrphidae.E - Hymenoptera.E,0.030863352,0.015256304,0.047915543,0.95,mode,hdi,Syrphidae.E,Hymenoptera.E,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Syrphidae.C - Lepidoptera.C,0.005875848,0.001837963,0.009495398,0.95,mode,hdi,Syrphidae.C,Lepidoptera.C,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Syrphidae.E - Lepidoptera.E,0.028630051,0.015873796,0.045283151,0.95,mode,hdi,Syrphidae.E,Lepidoptera.E,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bee.B - Bee.A,-0.053723176,-0.073667994,-0.032898029,0.95,mode,hdi,Bee.B,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bee.C - Bee.A,-0.07109935,-0.084047873,-0.056194537,0.95,mode,hdi,Bee.C,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bee.D - Bee.A,-0.073404514,-0.087910275,-0.052098847,0.95,mode,hdi,Bee.D,Bee.A,sig***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
