"","unique(plant_family$family)"
"1","Rosaceae"
"2","Fabaceae"
"3","Berberidaceae"
"4","Apiaceae"
"5","Montiaceae"
"6","Caryophyllaceae"
"7","Asteraceae"
"8","Geraniaceae"
"9","Euphorbiaceae"
"10","Amaryllidaceae"
"11","Oxalidaceae"
"12","Hydrophyllaceae"
"13","Schoepfiaceae"
"14","Iridaceae"
"15","Lamiaceae"
"16","Caprifoliaceae"
"17","Calceolariaceae"
"18","Onagraceae"
"19","Loasaceae"
"20","Solanaceae"
"21","Tropaeolaceae"
"22","Verbenaceae"
"23","Ranunculaceae"
"24","Brassicaceae"
"25","Francoaceae"
"26","Alstroemeriaceae"
"27","Boraginaceae"
"28","Polemoniaceae"
"29","Passifloraceae"
"30","Cactaceae"
"31","Rhamnaceae"
"32","Violaceae"
"33","Rubiaceae"
"34","Malvaceae"
"35","Araliaceae"
"36","Orchidaceae"
"37","Asparagaceae"
"38","Ericaceae"
"39","Cornaceae"
"40","Liliaceae"
