family,PGenus,order
Alismataceae,Saggitaria,Alismatales
Alismataceae,Sagittaria,Alismatales
Alismataceae,Hydrocleis,Alismatales
Alismataceae,Alisma,Alismatales
Alismataceae,Echinodorus,Alismatales
Araceae,Philodendron,Alismatales
Araceae,Montricharida,Alismatales
Araceae,Arisarum,Alismatales
Araceae,Arisaema,Alismatales
Araceae,Alocasia,Alismatales
Hydrocharitaceae,Hydrocharis,Alismatales
Tofieldiaceae,Tofieldia,Alismatales
Apiaceae,Asteriscium,Apiales
Apiaceae,Laretia,Apiales
Apiaceae,Tordylium,Apiales
Apiaceae,Umbellifer,Apiales
Apiaceae,Sium,Apiales
Apiaceae,Spuriopimpinella,Apiales
Apiaceae,pseudocymopterus,Apiales
Apiaceae,Erigenia,Apiales
Apiaceae,Polytaenia,Apiales
Apiaceae,Eryngium,Apiales
Apiaceae,Laserpitium,Apiales
Apiaceae,Azorella,Apiales
Apiaceae,Oenanthe,Apiales
Apiaceae,Sanicula,Apiales
Apiaceae,Scandix,Apiales
Apiaceae,Pastinaca,Apiales
Apiaceae,Pimpinella,Apiales
Apiaceae,Thaspium,Apiales
Apiaceae,Chaerophyllum,Apiales
Apiaceae,Bowlesia,Apiales
Apiaceae,Aegopodium,Apiales
Apiaceae,Thapsia,Apiales
Apiaceae,Pleurospermum,Apiales
Apiaceae,Bupleurum,Apiales
Apiaceae,Anthriscus,Apiales
Apiaceae,Crithmum,Apiales
Apiaceae,Osmorrhiza,Apiales
Apiaceae,Peucedanum,Apiales
Apiaceae,Oxypolis,Apiales
Apiaceae,Aciphylla,Apiales
Apiaceae,Aethusa,Apiales
Apiaceae,Cryptotaenia,Apiales
Apiaceae,Anisotome,Apiales
Apiaceae,Scaligeria,Apiales
Apiaceae,Pozoa,Apiales
Apiaceae,Lomatium,Apiales
Apiaceae,Libanotis,Apiales
Apiaceae,lomatium,Apiales
Apiaceae,Anethum,Apiales
Apiaceae,Torilis,Apiales
Apiaceae,Taenidia,Apiales
Apiaceae,Zizia,Apiales
Apiaceae,Daucus,Apiales
Apiaceae,Cicuta,Apiales
Apiaceae,Heracleum,Apiales
Apiaceae,Ligusticum,Apiales
Apiaceae,Angelica,Apiales
Apiaceae,Carum,Apiales
Apiaceae,Mulinum,Apiales
Apiaceae,Osterium,Apiales
Araliaceae,Aralia,Apiales
Araliaceae,Dendropanax,Apiales
Araliaceae,Polyscias,Apiales
Araliaceae,Gastonia,Apiales
Araliaceae,Hydrocotyle,Apiales
Araliaceae,Fatsia,Apiales
Araliaceae,Aralta,Apiales
Araliaceae,Schefflera,Apiales
Pittosporaceae,PittosPorum,Apiales
Pittosporaceae,Pittosporum,Apiales
Aquifoliaceae,Ilex,Aquifoliales
Aquifoliaceae,Nemopanthus,Aquifoliales
Arecaceae,Syagrus,Arecales
Arecaceae,Roscheria,Arecales
Arecaceae,Deckenia,Arecales
Arecaceae,Chamaerops,Arecales
Arecaceae,Nephrosperma,Arecales
Arecaceae,Phoenicophorium,Arecales
Arecaceae,Allagoptera,Arecales
Arecaceae,Arecaceae,Arecales
Amaryllidaceae,Leucocoryne,Asparagales
Amaryllidaceae,Allium,Asparagales
Amaryllidaceae,Hippeastrum,Asparagales
Amaryllidaceae,Tristagma,Asparagales
Amaryllidaceae,Sternbergia,Asparagales
Amaryllidaceae,Agapanthus,Asparagales
