"","db","query","family","order","Genus"
"1039","ncbi","1625",NA,NA,"Perrissina"
"1040","ncbi","1692",NA,NA,"Plagiomyia"
"1041","ncbi","1757",NA,NA,"Proscission"
"1044","ncbi","1839",NA,NA,"Pyronola"
"1045","ncbi","1902",NA,NA,"Sawpogon"
"1046","ncbi","1936",NA,NA,"Selenopalpus"
"1047","ncbi","1950",NA,NA,"Sestra"
"1048","ncbi","610",NA,NA,"Dasyuris"
"1049","ncbi","183",NA,NA,"Asaphodes"
"1051","ncbi","895",NA,NA,"Gelophaula"
"1052","ncbi","1624",NA,NA,"Peristoreus"
"1053","ncbi","2209",NA,NA,"Xenorhynchia"
"1054","ncbi","219",NA,NA,"Augochlorensis"
"1055","ncbi","222",NA,NA,"Auhochloropsis"
"1061","ncbi","203",NA,NA,"Athidium"
"1067","ncbi","1515",NA,NA,"Oxyssarcodexia"
"1071","ncbi","794",NA,NA,"Euhibus"
"1074","ncbi","857",NA,NA,"Extemnius"
"1076","ncbi","1463",NA,NA,"Omicrom"
"1077","ncbi","1519",NA,NA,"Pachodunerus"
"1080","ncbi","1629",NA,NA,"Phaenica"
"1082","ncbi","1895",NA,NA,"Sarcophagula"
"1084","ncbi","1724",NA,NA,"Politmus"
"1085","ncbi","392",NA,NA,"Cerciris"
"1086","ncbi","310",NA,NA,"Calicopis"
"1089","ncbi","1783",NA,NA,"Psedagochloropsis"
"1092","ncbi","579",NA,NA,"Cylindromia"
"1093","ncbi","1340",NA,NA,"Montezumia"
"1094","ncbi","1615",NA,NA,"Pereirapsis"
"1095","ncbi","1844",NA,NA,"Pyrrhogige"
"1097","ncbi","2009",NA,NA,"Sticia"
"1098","ncbi","2056",NA,NA,"Tachites"
"1102","ncbi","770",NA,NA,"Erylaeus"
"1103","ncbi","1292",NA,NA,"Mesograpta"
"1104","ncbi","1837",NA,NA,"Pyrobombus"
"1105","ncbi","1945",NA,NA,"Sercomyia"
"1106","ncbi","1216",NA,NA,"Macrodactlyus"
"1107","ncbi","1952",NA,NA,"Shaerophoria"
"1112","ncbi","1055",NA,NA,"Hyponotum"
"1113","ncbi","2013",NA,NA,"Stilbosona"
"1118","ncbi","312",NA,NA,"Callideriphus"
"1120","ncbi","602",NA,NA,"Dasydema"
"1121","ncbi","681",NA,NA,"Dysmorphocellus"
"1122","ncbi","1243",NA,NA,"Mecopselaphus"
"1124","ncbi","1700",NA,NA,"Platynocera"
"1126","ncbi","434",NA,NA,"Chenoderus"
"1127","ncbi","443",NA,NA,"Chlamysus"
"1128","ncbi","482",NA,NA,"Clamirius"
"1131","ncbi","827",NA,NA,"Eurymetopun"
"1132","ncbi","1041",NA,NA,"Hylodanacea"
"1134","ncbi","1220",NA,NA,"Macrometopia"
"1136","ncbi","1348",NA,NA,"Morphodexia"
"1138","ncbi","1772",NA,NA,"Protosialis"
"1139","ncbi","1919",NA,NA,"Schizochelus"
"1141","ncbi","640",NA,NA,"Dielis"
"1147","ncbi","99",NA,NA,"Anartia"
"1154","ncbi","1350",NA,NA,"Moth"
"1155","ncbi","162",NA,NA,"Apocrita"
"1156","ncbi","675",NA,NA,"Dryas"
"1164","ncbi","1565",NA,NA,"Paraphrissopoda"
"1167","ncbi","648",NA,NA,"Dione"
"1169","ncbi","1555",NA,NA,"Paragymnetis"
"1173","ncbi","1090",NA,NA,"Janonia"
"1174","ncbi","67",NA,NA,"Allosmaitia"
"1181","ncbi","350",NA,NA,"Carpelius"
"1182","ncbi","1405",NA,NA,"Nesiope"
"1184","ncbi","1962",NA,NA,"Siphunculina"
"1196","ncbi","924",NA,NA,"Graphium"
"1198","ncbi","2180",NA,NA,"Vekunta"
"1201","ncbi","1562",NA,NA,"Paraoxyna"
"1202","ncbi","117",NA,NA,"Anomalempis"
"1206","ncbi","1289",NA,NA,"Mesepora"
"1208","ncbi","248",NA,NA,"Bertsa"
"1210","ncbi","346",NA,NA,"Carinosolia"
"1216","ncbi","435",NA,NA,"Chiagasinus"
"1219","ncbi","585",NA,NA,"Cyphicerus"
"1220","ncbi","831",NA,NA,"Euscartopsis"
"1221","ncbi","953",NA,NA,"Haptoncurina"
"1222","ncbi","954",NA,NA,"Haptoncus"
"1224","ncbi","1470",NA,NA,"Onychostylus"
"1228","ncbi","420",NA,NA,"Charitovalgus"
"1231","ncbi","1215",NA,NA,"Macrocorynus"
"1244","ncbi","1247",NA,NA,"Mediza"
"1245","ncbi","1378",NA,NA,"Nanohyes"
"1248","ncbi","1434",NA,NA,"Ochetelus"
"1250","ncbi","1998",NA,NA,"Stenodryas"
"1251","ncbi","114",NA,NA,"Anisostira"
"1252","ncbi","156",NA,NA,"Aphothona"
"1253","ncbi","208",NA,NA,"Atlobaccha"
"1259","ncbi","399",NA,NA,"Cersium"
"1260","ncbi","423",NA,NA,"Chaticodoma"
"1263","ncbi","856",NA,NA,"Exptochiomera"
"1264","ncbi","874",NA,NA,"Formosopyrrhona"
"1269","ncbi","1169",NA,NA,"Liorhyssum"
"1270","ncbi","1228",NA,NA,"Malthinellus"
"1271","ncbi","1413",NA,NA,"Nodina"
"1272","ncbi","1452",NA,NA,"Okinawepipona"
"1273","ncbi","1606",NA,NA,"Penthelater"
"1274","ncbi","1737",NA,NA,"Popilitia"
"1275","ncbi","1791",NA,NA,"Pseudiphra"
"1276","ncbi","2113",NA,NA,"Tinginotum"
"1277","ncbi","2118",NA,NA,"Tolidopalpus"
"1282","ncbi","36",NA,NA,"Agemilla"
"1286","ncbi","123",NA,NA,"Anornalempis"
