,Phaethornis eurynome,Thalurania glaucopis,Phaethornis squalidus,Clytolaema rubricauda,Leucochloris albicollis
Abutilon bedfordianum,8.3,79.2,0,12.5,0
Aechmea nudicaulis,18.4,63.1,5.3,13.2,0
Aechmea vanhoutteana,22.6,68.9,6.7,1.8,0
Billbergia distachya,61.1,11.1,27.8,0,0
Billbergia vitata,65.4,0,3.8,30.8,0
Bomarea edulis,36,12,52,0,0
Fuchsia regia,20,20,60,0,0
Hippeastrum aulicum,50,29,21,0,0
Justicia sebastianopolitanae,100,0,0,0,0
Manettia mirtis,14.8,14.8,70.4,0,0
Mendoncia sp1 M_PL_066,9.7,48.8,0,0,41.5
Nematanthus crassifolius,100,0,0,0,0
Nematanthus fornix,25,68.7,6.3,0,0
Nematanthus lanceolatus,31.6,0,68.4,0,0
Nidularium itatiaiae,100,0,0,0,0
Odontonema barlerioides,30,0,70,0,0
Pitcaimia flammea,65,30,5,0,0
Psittacanthus flavo viridis,0,66.7,0,33.3,0
Pyrostegia venusta,61.5,7.7,23.1,0,7.7
Quesnelia augusto-coburgii,100,0,0,0,0
Salvia sellowiana,88.2,0,11.8,0,0
Sinningia cooperi,63.6,22.7,13.7,0,0
Sinningia gigantifolia,71.4,0,28.6,0,0
Siphocampylus longepedunculatus,100,0,0,0,0
Staurogyne itatiaiae,28.6,0,71.4,0,0
Tillandsia gardneri,0,50,50,0,0
Velloziela dracocephaloides,100,0,0,0,0
Vriesea carinata,90,10,0,0,0
Vriesea longicaulis,50,50,0,0,0
Vriesea sp1 M_PL_066,0,0,0,100,0
Stromanthe thalia,33.4,0,33.3,33.3,0
