Plant_species,Agynnis aglaia,Andrena lapponica,Andrena nitida,Andrena ruficrus,Andrena subopaca,Anthidium punctatum,Anthocharis cardamines,Apis mellifera,Argynnis paphia,Autographa bractea,Autographa gamma,Azelia cilipes,Bellardia pandia,Bicellaria austriaca,Billaea triangulifera,Blera fallax,Bombus hortorum,Bombus hypnorum,Bombus jonellus,Bombus lucorum-Komplex,Bombus lucorum-Komplex cf. cryptarum,Bombus lucorum-Komplex cf. lucorum,Bombus mucidus,Bombus pascuorum,Bombus pratorum,Bombus soroeensis,Bombus sylvestris,Bombus wurflenii,Bombylius cinerascens,Botanophila aff. varicolor,Botanophila fugax,Botanophila striolata,Brachymyia berberina,Calliphora vomitoria,Carterocephalus palaemon,Chaetostomella cylindrica,Cheilosia albipila,Cheilosia albitarsis,Cheilosia antiqua,Cheilosia bergenstammi,Cheilosia canicularis,Cheilosia carbonaria,Cheilosia chlorus,Cheilosia chrysocoma,Cheilosia illustrata,Cheilosia impressa,Cheilosia lenis,Cheilosia melanura,Cheilosia morio,Cheilosia mutabilis,Cheilosia nigripes,Cheilosia pagana,Cheilosia personata,Cheilosia urbana,Cheilosia vicina,Chelostoma florisomne,Chersotis cuprea,Chrysotoxum arcuatum,Coenonympha arcania,Coenonympha gardetta,Coenosia mollicula,Colias crocea,Cryptaciura rotundiventris,Cyrtophleba ruricola,Cyzenis jucunda,Dasysyrphus lenensis,Dasysyrphus tricinctus,Dasysyrphus venustus,Delia aff. angustiventris,Empis tesselata,Epicampocera succincta,Episyrphus balteatus,Erebia aethiops,Erebia euryale,Erebia meolans,Eriothrix rufomaculatus,Eristalis interrupta,Eristalis tenax,Erynnis tages,Eupeodes corollae,Eupeodes lapponicus,Eupeodes latifasciatus,Eupeodes nielseni,Euphydryas aurorina,Exorista rustica,Gastrolepta anthracina,Halictus rubicundus,Helina latitarsis,Helophilus pendulus,Helophilus trivittatus,Hercostomus germanus,Huebneria affinis,Hybos culiciformis,Hybos grossipes,Hydrophoria diabata,Hydrotaea irritans,Hydrotaea pandellei,Hylaeus confusus,Hylemya vagans,Hylemya variata,Inachis io,Lasioglossum albipes,Lasioglossum calceatum,Lasioglossum cupromicans,Lasioglossum fulvicorne,Lasioglossum laevigatum,Lasiommata petropolitana,Linnaemya vulpina,Loewia phaeoptera,Lycaena hippothoe,Macquartia grisea,Macquartia tenebricosa,Megachile ligniseca,Melangyna compositarum,Melangyna lasiophthalma,Melanogaster nuda,Melanostoma mellinum,Melanostoma scalare,Melinda gentilis,Melinda viridicyaena,Meliscaeva cinctella,Melitaea athalia,Melitaea diamina,Merodon rufus,Morellia podagrica,Musca autumnalis,Nemorilla maculosa,Neomyia viridescens,Ochlodes sylvanus,Osmia labialis,Papilio machaon,Paragus haemorrhous,Parasyrphus annulatus,Parasyrphus lineola,Parasyrphus macularis,Parasyrphus punctulatus,Parasyrphus vittiger,Parnassius apollo,Pegoplata aestiva,Peribaea tibialis,Phaonia angelicae,Phaonia meigeni,Phaonia serva,Phorbia curvicauda,Pieris bryoniae,Pieris napi,Pieris rapae,Pipiza bimaculata,Pipiza fenestrata,Pipiza lugubris,Pipiza quadrimaculata,Pipizella annulata,Pipizella divicoi,Platycheirus albimanus,Platycheirus europaeus,Platycheirus manicatus,Platycheirus scutatus,Polietes lardarius,Pollenia amentaria,Pollenia pediculata,Pollenia rudis,Polyomnmatus bellargus,Polyomnmatus icarus,Pseudopanthera macularia,Pyrgus malvae,Rhamphomyia spec. nov. 1,Rhamphomyia umbripes,Sarcophaga dissimilis,Sarcophaga haemorrhoa,Sarcophaga variegatag,Scathophaga stercoraria,Sericomyia silentis,Sicus ferrugineus,Solieria inanis,Sphaerophoria interrupta,Sphaerophoria scripta,Sphaerophoria taeniata,Sphaerophoria virgata,Stevenia atramentaria,Synactia parvula,Syrphus ribesii,Syrphus torvus,Syrphus vitripennis,Tachina magnicornis,Tachina nigrohirta,Thricops cunctans,Thricops innocuus,Thricops longipes,Thricops nigrifrons,Thricops semicinereus,Vanessa cardui,Volucella bombylans,Xylota jakutorum,Zygaena filipendulae,Zygaena transalpina
Achillea clavennae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinos alpinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenostyles alliariae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajuga reptans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium lusitanicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthericum ramosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Anthriscus nitidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Betonica alopecuros,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0
Biscutella laevigata,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buphthalmum salicifolium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
