,Abutilon depauperatum,Acacia rurodiana,Alternanthera echinocephala,Alternanthera filifolia,Bastardia viscosa,Blainvillea dichotoma,Boerhaavia caribaea,Boerhaavia erecta,Borreria ericaefolia,Bursera graveolens,Cardiospermum galapageium,Castela galapageia,Chiococca alba,Cleome viscosa,Clerodendrum molle,Commicarpus tuberosus,Cordia leucophlyctis,Cordia lutea,Cordia revoluta,Crotalaria pumila,Croton scouleri,Cryptocarpus pyriformis,Darwiniothamnus lancifolius,Desmanthus virgatus,Galactia striata,Gossypium darwinii,Heliotropium angiospermum,Ipomoea habeliana,Ipomoea linearifolia,Jasminocereus thouarsii,Lantana peduncularis,Macraea laricifolia,Maytenus octogona,Mentzelia aspera,Mollugo flavescens,Mollugo snodgrassii,Momordica charantia,Opuntia  echios,Opuntia galapageia,Parkinsonia aculeata,Pectis tenuifolia,Plumbago scandens,Polygala galapageia,Portulaca oleracea,Prosopis juliflora,Rhynchosia minima,Sarcostemma angustissimum,Scalesia affinis,Scalesia bauri,Scutia spicata,Senna pistacifolia,Tamarindus indica,Tiquilia darwinii,Tiquilia fusca,Tournefortia psilostachya,Tournefortia pubescens,Tournefortia rufo-sericea,Tribulus cistoides,Vallesia glabra,Waltheria ovata
Symploce pallens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,
Acanthoscelides fuscomaculatus,,,,,,,,,,,,,,,,,78,,,,676,,,,,,,,,,3967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthoscelides manleyi,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthoscelides obtecus,,,,,,,,,,,,,,,,,48,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthoscelides rossi,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblycerus galapagoensis,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblycerus piurae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
Conotelus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curculionidae sp.,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curculionidae sp.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
Cycloneda sanguinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,
Docema galapagoensis,,,,,,,,,,,,,,,,,,50,,,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euburia lanigera,,,,,,,,,,,,,,,,,238,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galapaganus aonwayensis,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galapaganus ashlocki,,,15,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,,,,,
Galapaganus crockeri,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
