Network,PFamily,Plant,PolOrder,PolFamily,Pollinator,Int
BAT1CA,Asteracea,Urospermum picrioides,Coleoptera,Oedemeridae,Oedemera flavipes,1
BAT1CA,Asteracea,Sonchus tenerrinus,Hymenoptera,Megachilidae,Anthidium sticticum,1
BAT1CA,Asteracea,Sonchus tenerrinus,Coleoptera,Oedemeridae,Oedemera lurida,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Anthidium sticticum,2
BAT1CA,Asteracea,Sonchus tenerrinus,Coleoptera,Dasytidae,Psilothrix,2
BAT1CA,Asteracea,Aetheorrina bulbosa,Coleoptera,Dasytidae,Psilothrix,1
BAT1CA,Asteracea,Aetheorrina bulbosa,Coleoptera,Chrysomelidae,Criptocephalus,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Megaquile,3
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Megaquile,2
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Anthophoridae,Amegilla femorata?,3
BAT1CA,Asteracea,Aetheorrina bulbosa,Hymenoptera,Andrenidae,Andrena,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Andrenidae,Andrena,1
BAT1CA,Asteracea,Aetheorrina bulbosa,Hymenoptera,Andrenidae,Andrena,1
BAT1CA,Asteracea,Sonchus tenerrinus,Coleoptera,Chrysomelidae,Criptocephalus,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Anthidium sticticum,2
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Apoidea,Apis melifera,1
BAT1CA,Euforbeacea,Euphorbea segatalis,Hymenoptera,Vespidae,Polistes gallicum,1
BAT1CA,Asteracea,Urospermum picrioides,Coleoptera,Oedemeridae,Oedemera lurida,1
BAT1CA,Labiada,Lavandula stoechas,Lepidoptera,Adelidae,Adelidae,1
BAT1CA,Asteracea,Aetheorrina bulbosa,Coleoptera,Ptinidae?_Bruchidae?,Ptinidae Bruchidae,1
BAT1CA,Asteracea,Aetheorrina bulbosa,Coleoptera,Dasytidae,Psilothrix,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Halictidae,Lasioglossum,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Anthophoridae,Amegilla femorata?,1
BAT1CA,Asteracea,Aetheorrina bulbosa,Hymenoptera,Andrenidae,Andrena,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Anthophoridae,Anthophora,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Anthidium sticticum,3
BAT1CA,Asteracea,Sonchus tenerrinus,Coleoptera,Oedemeridae,Oedemera lurida,2
BAT1CA,Asteracea,Aetheorrina bulbosa,Coleoptera,Oedemeridae,Oedemera lurida,1
BAT1CA,Asteracea,Sonchus tenerrinus,Coleoptera,Chrysomelidae,Criptocephalus,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Megaquile,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Anthophoridae,Amegilla femorata?,1
BAT1CA,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
BAT2CA,Asteracea,Sonchus tenerrinus,Coleoptera,Dasytidae,Psilothrix,3
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Anthidium sticticum,5
BAT2CA,Asteracea,Sonchus tenerrinus,Coleoptera,Chrysomelidae,Criptocephalus,1
BAT2CA,Asteracea,Sonchus tenerrinus,Coleoptera,Mordelidae,Mordella bipunctata,2
BAT1CA,Convolvulacea,Convolvulus althaeoides,Coleoptera,Ptinidae?_Bruchidae?,Ptinidae Bruchidae,1
BAT2CA,Asteracea,Urospermum picrioides,Hymenoptera,Proctotupidae,Helorus coruscus,1
BAT2CA,Asteracea,Sonchus tenerrinus,Coleoptera,Dasytidae,Psilothrix,2
BAT2CA,Asteracea,Urospermum picrioides,Coleoptera,Oedemeridae,Oedemera flavipes,2
BAT1CA,Asteracea,Aetheorrina bulbosa,Coleoptera,Oedemeridae,Oedemera flavipes,2
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Ichneumonidae,Ichneumonidae,1
BAT2CA,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
BAT1CA,Convolvulacea,Convolvulus althaeoides,Coleoptera,Oedemeridae,Oedemera lurida,1
BAT2CA,Asteracea,Sonchus tenerrinus,Hymenoptera,Andrenidae,Andrena,1
BAT2CA,Asteracea,Urospermum picrioides,Hymenoptera,Colletidae,Colletes,1
BAT2CA,Asteracea,Sonchus tenerrinus,Coleoptera,Oedemeridae,Oedemera lurida,3
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Megaquile,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Hailictidae,Sphecodes,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Megachilidae,Anthidium,1
BAT1CA,Labiada,Lavandula stoechas,Hymenoptera,Halictidae,Halictus,1
