Plant_species,Insect_species,value,L1
Erica carnea,Bombus pratorum,1,Benadi 2014_2
Tussilago farfara,Pegoplata aestiva,1,Benadi 2014_2
Tussilago farfara,Cheilosia melanura,1,Benadi 2014_2
Soldanella alpina,Bombus wurflenii,1,Benadi 2014_2
Polygala chamaebuxus,Bombus pascuorum,1,Benadi 2014_2
Soldanella alpina,Bombus wurflenii,1,Benadi 2014_2
Tussilago farfara,Pollenia amentaria,1,Benadi 2014_2
Tussilago farfara,Sphaerophoria scripta,1,Benadi 2014_2
Tussilago farfara,Botanophila fugax,1,Benadi 2014_2
Tussilago farfara,Pegoplata aestiva,1,Benadi 2014_2
Soldanella alpina,Melinda viridicyaena,1,Benadi 2014_2
Tussilago farfara,Pollenia amentaria,1,Benadi 2014_2
Tussilago farfara,Cheilosia urbana,1,Benadi 2014_2
Erica carnea,Bombus pratorum,1,Benadi 2014_2
Erica carnea,Bombus pratorum,1,Benadi 2014_2
Erica carnea,Callophrys rubi,1,Benadi 2014_2
Erica carnea,Bombus wurflenii,1,Benadi 2014_2
Tussilago farfara,Cheilosia melanura,1,Benadi 2014_2
Tussilago farfara,Andrena ruficrus,1,Benadi 2014_2
Tussilago farfara,Andrena ruficrus,1,Benadi 2014_2
Tussilago farfara,Pollenia amentaria,1,Benadi 2014_2
Tussilago farfara,Pollenia amentaria,1,Benadi 2014_2
Tussilago farfara,Pollenia amentaria,1,Benadi 2014_2
Tussilago farfara,Andrena ruficrus,1,Benadi 2014_2
Erica carnea,Bombus pratorum,1,Benadi 2014_2
Soldanella alpina,Bombus wurflenii,1,Benadi 2014_2
Ranunculus acris,Parasyrphus vittiger,1,Benadi 2014_2
Soldanella alpina,Cheilosia melanura,1,Benadi 2014_2
Tussilago farfara,Andrena ruficrus,1,Benadi 2014_2
Tussilago farfara,Parasyrphus macularis,1,Benadi 2014_2
Tussilago farfara,Pollenia amentaria,1,Benadi 2014_2
Tussilago farfara,Pollenia amentaria,1,Benadi 2014_2
