Network,Date,Time start,Species,plant,Apis.mellifera,Bombus.,Colletidae.Halictidae,Vespula,Syrphidae,Diptera,Diptera,Coleoptera,Lepidoptera,Hymenoptera,Myridae
AitP,4/01/16,900,CALssr,Calystegia sepium subsp. roseata,0,0,0,0,0,0,0,1,0,0,0
AitP,4/01/16,1300,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,4/01/16,1500,CALssr,Calystegia sepium subsp. roseata,0,0,0,0,0,0,0,0,0,1,0
AitP,7/01/16,900,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,7/01/16,900,CALssr,Calystegia sepium subsp. roseata,1,0,0,0,0,0,0,0,0,0,0
AitP,7/01/16,1100,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,7/01/16,1100,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,7/01/16,1100,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,7/01/16,1300,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,7/01/16,1500,CALssr,Calystegia sepium subsp. roseata,0,0,0,0,0,0,0,0,0,1,0
AitP,7/01/16,1500,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,9/02/16,900,CALssr,Calystegia sepium subsp. roseata,0,0,0,0,0,0,0,1,0,0,0
AitP,9/02/16,900,CALssr,Calystegia sepium subsp. roseata,0,0,0,0,0,0,0,0,0,1,0
AitP,9/02/16,1100,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,9/02/16,1100,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,9/02/16,1100,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,9/02/16,1300,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,9/02/16,1500,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,9/02/16,1500,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,12/02/16,900,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,12/02/16,900,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,12/02/16,900,CALssr,Calystegia sepium subsp. roseata,0,1,0,0,0,0,0,0,0,0,0
AitP,12/02/16,900,CALssr,Calystegia sepium subsp. roseata,1,0,0,0,0,0,0,0,0,0,0
AitP,12/02/16,1100,CALssr,Calystegia sepium subsp. roseata,0,0,0,0,1,0,0,0,0,0,0
