"","X","Apis.mellifera","Borbo.borbonica","Leptotes.pirithous","Lucilia.sp.","Megachile.sp.","Musca.domestica","Ornidia.obesa","Phalantha.phalantha","Phelsuma.ornata","Protaetia.aurichalcea","Stratiomydae.sp.","Syrphid.sp.","Xylocopa.fenestrata"
"1","Argusia argentea",1,0,0,0,0,1,0,0,1,0,0,1,0
"2","Dracaena concinna",1,0,0,0,0,0,0,0,1,0,0,1,0
"3","Gastonia mauritiana",1,0,1,1,0,1,1,0,1,1,1,0,0
"4","Hibiscus tiliaceus",1,0,0,0,0,0,0,0,1,0,0,0,0
"5","Ipomoea macrantha",1,0,0,0,0,0,0,0,0,0,0,0,0
"6","Leucaena leucocephala",1,0,0,0,0,0,0,0,1,0,1,0,0
"7","Morinda citrifolia",1,0,1,0,0,0,0,0,1,0,0,0,0
"8","Passiflora suberosa",1,0,0,0,0,0,0,0,1,0,0,0,0
"9","Pemphis acidula",1,0,1,0,0,0,0,1,1,0,1,0,1
"10","Scaevola sericea",1,0,0,0,1,0,0,0,1,0,0,0,1
"11","Stachytapheta jamaicencis",0,1,1,0,0,0,0,1,0,0,1,1,0
"12","Suriana maritima",1,0,1,0,1,0,0,0,0,0,0,0,0
"13","Thespesia populnea",1,1,0,0,0,0,0,0,1,0,1,0,0
"14","Turnera angustifolia",0,1,0,0,1,0,0,0,0,0,1,0,1
