IGenus,PGenus,Plant,Pollinator,Int,Network,PFamily,POrder,PolFamily,PolOrder
Halictus,Allium,Allium sphaerocephalon L.,Halictus tumulorum L.,1,carvalheiro 2008,Alliaceae,Asparagales,Halictidae,Hymenoptera
Bombus,Allium,Allium sphaerocephalon L.,Bombus lapidarius L.,1,carvalheiro 2008,Alliaceae,Asparagales,Apidae,Hymenoptera
Sphaerophoria,Allium,Allium sphaerocephalon L.,Sphaerophoria scripta L.,1,carvalheiro 2008,Alliaceae,Asparagales,Syrphidae,Diptera
Lasioglossum,Allium,Allium sphaerocephalon L.,Lasioglossum smeathmanellum Kirby,1,carvalheiro 2008,Alliaceae,Asparagales,Halictidae,Hymenoptera
Lasioglossum,Allium,Allium sphaerocephalon L.,Lasioglossum calceatum Scopoli,1,carvalheiro 2008,Alliaceae,Asparagales,Halictidae,Hymenoptera
Cteniopus,Allium,Allium sphaerocephalon L.,Cteniopus sulphurous L.,1,carvalheiro 2008,Alliaceae,Asparagales,Tenebrionidae,Coleoptera
Lasioglossum,Allium,Allium sphaerocephalon L.,Lasioglossum leucopus Kirby,1,carvalheiro 2008,Alliaceae,Asparagales,Halictidae,Hymenoptera
Bombus,Allium,Allium sphaerocephalon L.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Alliaceae,Asparagales,Apidae,Hymenoptera
Myrmecoris,Allium,Allium sphaerocephalon L.,Myrmecoris gracilis R.F.Sahlberg  _,1,carvalheiro 2008,Alliaceae,Asparagales,Miridae,Heteroptera
Lasioglossum,Allium,Allium sphaerocephalon L.,Lasioglossum morio Fabricius,1,carvalheiro 2008,Alliaceae,Asparagales,Halictidae,Hymenoptera
Formica,Apiaceae,Apiaceae sp.,Formica fusca L. _,1,carvalheiro 2008,Apiaceae,Apiales,Formicidae,Hymenoptera
Arge,Apiaceae,Apiaceae sp.,Arge pagana Panzer,1,carvalheiro 2008,Apiaceae,Apiales,Argidae,Hymenoptera
Lasioglossum,Torilis,Torilis japonica (Houtt.) DC,Lasioglossum morio Fabricius,1,carvalheiro 2008,Apiaceae,Apiales,Halictidae,Hymenoptera
Temnothorax,Trinia,Trinia glauca (L.) Dummort ¥,Temnothorax albipennis Curtis  _,1,carvalheiro 2008,Apiaceae,Apiales,Formicidae,Hymenoptera
Tenthredo,Apiaceae,Apiaceae sp.,Tenthredo sp.,1,carvalheiro 2008,Apiaceae,Apiales,Tenthredinidae,Hymenoptera
Thysanoptera,Trinia,Trinia glauca (L.) Dummort ¥,Thysanoptera sp1  _,1,carvalheiro 2008,Apiaceae,Apiales,NA,Thysanoptera
Ectemnius,Torilis,Torilis japonica (Houtt.) DC,Ectemnius continuus Fabricius,1,carvalheiro 2008,Apiaceae,Apiales,Crabronidae,Hymenoptera
Halictus,Torilis,Torilis japonica (Houtt.) DC,Halictus tumulorum L.,1,carvalheiro 2008,Apiaceae,Apiales,Halictidae,Hymenoptera
Helophilus,Apiaceae,Apiaceae sp.,Helophilus pendulus L.,1,carvalheiro 2008,Apiaceae,Apiales,Syrphidae,Diptera
Solieria,Apiaceae,Apiaceae sp.,Solieria pacifica Meigen,1,carvalheiro 2008,Apiaceae,Apiales,Tachinidae,Diptera
Bombus,Apiaceae,Apiaceae sp.,Bombus pascuorum Scopoli,1,carvalheiro 2008,Apiaceae,Apiales,Apidae,Hymenoptera
Discomyza,Apiaceae,Apiaceae sp.,Discomyza incurva Fall‚n,1,carvalheiro 2008,Apiaceae,Apiales,Ephydridae,Diptera
Lasius,Trinia,Trinia glauca (L.) Dummort ¥,Lasius alienus Foerster  _,1,carvalheiro 2008,Apiaceae,Apiales,Formicidae,Hymenoptera
Formica,Smyrnium,Smyrnium olusatrum L.* ¥,Formica fusca L. _,1,carvalheiro 2008,Apiaceae,Apiales,Formicidae,Hymenoptera
Hymenoptera,Smyrnium,Smyrnium olusatrum L.* ¥,Hymenoptera sp2,1,carvalheiro 2008,Apiaceae,Apiales,NA,Hymenoptera
Bombus,Torilis,Torilis japonica (Houtt.) DC,Bombus pascuorum Scopoli,1,carvalheiro 2008,Apiaceae,Apiales,Apidae,Hymenoptera
Cheilosia,Torilis,Torilis japonica (Houtt.) DC,Cheilosia soror Zetterstedt,1,carvalheiro 2008,Apiaceae,Apiales,Syrphidae,Diptera
Epistrophe,Torilis,Torilis japonica (Houtt.) DC,Epistrophe grossularia Meigen,1,carvalheiro 2008,Apiaceae,Apiales,Syrphidae,Diptera
Paragus,Torilis,Torilis japonica (Houtt.) DC,Paragus haemorrhous Meigen,1,carvalheiro 2008,Apiaceae,Apiales,Syrphidae,Diptera
Sarcophaga,Torilis,Torilis japonica (Houtt.) DC,Sarcophaga carnaria L.,1,carvalheiro 2008,Apiaceae,Apiales,Sarcophagidae,Diptera
Syrphus,Torilis,Torilis japonica (Houtt.) DC,Syrphus ribesii L.,1,carvalheiro 2008,Apiaceae,Apiales,Syrphidae,Diptera
