X,variable,L1,value
Passiflora suberosa,Apis.mellifera,mauritius_valerie,1
Leucaena leucocephala,Apis.mellifera,mauritius_valerie,1
Morinda citrifolia,Apis.mellifera,mauritius_valerie,1
Thespesia populnea,Apis.mellifera,mauritius_valerie,1
Argusia argentea,Apis.mellifera,mauritius_valerie,1
Suriana maritima,Apis.mellifera,mauritius_valerie,1
Hibiscus tiliaceus,Apis.mellifera,mauritius_valerie,1
Pemphis acidula,Apis.mellifera,mauritius_valerie,1
Ipomoea macrantha,Apis.mellifera,mauritius_valerie,1
Scaevola sericea,Apis.mellifera,mauritius_valerie,1
Dracaena concinna,Apis.mellifera,mauritius_valerie,1
Gastonia mauritiana,Apis.mellifera,mauritius_valerie,1
Turnera angustifolia,Borbo.borbonica,mauritius_valerie,1
Stachytapheta jamaicencis,Borbo.borbonica,mauritius_valerie,1
Thespesia populnea,Borbo.borbonica,mauritius_valerie,1
Stachytapheta jamaicencis,Leptotes.pirithous,mauritius_valerie,1
Morinda citrifolia,Leptotes.pirithous,mauritius_valerie,1
Suriana maritima,Leptotes.pirithous,mauritius_valerie,1
Pemphis acidula,Leptotes.pirithous,mauritius_valerie,1
Gastonia mauritiana,Leptotes.pirithous,mauritius_valerie,1
Gastonia mauritiana,Lucilia.sp.,mauritius_valerie,1
Turnera angustifolia,Megachile.sp.,mauritius_valerie,1
Suriana maritima,Megachile.sp.,mauritius_valerie,1
Scaevola sericea,Megachile.sp.,mauritius_valerie,1
Argusia argentea,Musca.domestica,mauritius_valerie,1
Gastonia mauritiana,Musca.domestica,mauritius_valerie,1
Gastonia mauritiana,Ornidia.obesa,mauritius_valerie,1
Stachytapheta jamaicencis,Phalantha.phalantha,mauritius_valerie,1
Pemphis acidula,Phalantha.phalantha,mauritius_valerie,1
Passiflora suberosa,Phelsuma.ornata,mauritius_valerie,1
Leucaena leucocephala,Phelsuma.ornata,mauritius_valerie,1
Morinda citrifolia,Phelsuma.ornata,mauritius_valerie,1
Thespesia populnea,Phelsuma.ornata,mauritius_valerie,1
Argusia argentea,Phelsuma.ornata,mauritius_valerie,1
Hibiscus tiliaceus,Phelsuma.ornata,mauritius_valerie,1
Pemphis acidula,Phelsuma.ornata,mauritius_valerie,1
Scaevola sericea,Phelsuma.ornata,mauritius_valerie,1
Dracaena concinna,Phelsuma.ornata,mauritius_valerie,1
Gastonia mauritiana,Phelsuma.ornata,mauritius_valerie,1
Gastonia mauritiana,Protaetia.aurichalcea,mauritius_valerie,1
Turnera angustifolia,Stratiomydae.sp.,mauritius_valerie,1
Stachytapheta jamaicencis,Stratiomydae.sp.,mauritius_valerie,1
Leucaena leucocephala,Stratiomydae.sp.,mauritius_valerie,1
Thespesia populnea,Stratiomydae.sp.,mauritius_valerie,1
Pemphis acidula,Stratiomydae.sp.,mauritius_valerie,1
Gastonia mauritiana,Stratiomydae.sp.,mauritius_valerie,1
Stachytapheta jamaicencis,Syrphid.sp.,mauritius_valerie,1
Argusia argentea,Syrphid.sp.,mauritius_valerie,1
Dracaena concinna,Syrphid.sp.,mauritius_valerie,1
Pemphis acidula,Xylocopa.fenestrata,mauritius_valerie,1
Scaevola sericea,Xylocopa.fenestrata,mauritius_valerie,1
Turnera angustifolia,Xylocopa.fenestrata,mauritius_valerie,1
