,intera,.value,.lower,.upper,.width,.point,.interval,group1,group2,id
5,Coleoptera.A - Bee.A,-0.397827088,-0.494442974,-0.304358103,0.95,mode,hdi,Coleoptera.A,Bee.A,sig***
10,Diptera.A - Bee.A,-0.247566903,-0.312514123,-0.167101029,0.95,mode,hdi,Diptera.A,Bee.A,sig***
15,Hymenoptera.A - Bee.A,-0.273721715,-0.35523186,-0.180914237,0.95,mode,hdi,Hymenoptera.A,Bee.A,sig***
20,Lepidoptera.A - Bee.A,-0.384250309,-0.473226498,-0.291638447,0.95,mode,hdi,Lepidoptera.A,Bee.A,sig***
25,Syrphidae.A - Bee.A,-0.339013274,-0.427651512,-0.250241424,0.95,mode,hdi,Syrphidae.A,Bee.A,sig***
67,Diptera.C - Bee.C,-0.067761408,-0.109549027,-0.029635621,0.95,mode,hdi,Diptera.C,Bee.C,sig***
72,Hymenoptera.C - Bee.C,-0.115595128,-0.157480846,-0.062463513,0.95,mode,hdi,Hymenoptera.C,Bee.C,sig***
77,Lepidoptera.C - Bee.C,-0.089418918,-0.142972528,-0.03827023,0.95,mode,hdi,Lepidoptera.C,Bee.C,sig***
82,Syrphidae.C - Bee.C,0.07261966,0.026669314,0.113889409,0.95,mode,hdi,Syrphidae.C,Bee.C,sig***
83,Syrphidae.D - Bee.C,0.341352838,0.0059949,0.729426524,0.95,mode,hdi,Syrphidae.D,Bee.C,sig***
89,Coleoptera.D - Bee.D,-0.136064039,-0.267318801,-0.002080211,0.95,mode,hdi,Coleoptera.D,Bee.D,sig***
99,Hymenoptera.D - Bee.D,-0.238683801,-0.402945857,-0.103899067,0.95,mode,hdi,Hymenoptera.D,Bee.D,sig***
104,Lepidoptera.D - Bee.D,-0.247952596,-0.355274654,-0.145122247,0.95,mode,hdi,Lepidoptera.D,Bee.D,sig***
120,Diptera.E - Bee.E,0.291814521,0.142349019,0.434108382,0.95,mode,hdi,Diptera.E,Bee.E,sig***
130,Lepidoptera.E - Bee.E,0.18753312,0.028983339,0.355111047,0.95,mode,hdi,Lepidoptera.E,Bee.E,sig***
135,Syrphidae.E - Bee.E,0.679018548,0.452058216,0.925886217,0.95,mode,hdi,Syrphidae.E,Bee.E,sig***
140,Diptera.A - Coleoptera.A,0.156722696,0.074531877,0.247243309,0.95,mode,hdi,Diptera.A,Coleoptera.A,sig***
145,Hymenoptera.A - Coleoptera.A,0.12159496,0.019951516,0.229885398,0.95,mode,hdi,Hymenoptera.A,Coleoptera.A,sig***
192,Hymenoptera.C - Coleoptera.C,-0.069015687,-0.117755871,-0.013558626,0.95,mode,hdi,Hymenoptera.C,Coleoptera.C,sig***
202,Syrphidae.C - Coleoptera.C,0.115963876,0.068913657,0.16339153,0.95,mode,hdi,Syrphidae.C,Coleoptera.C,sig***
224,Syrphidae.D - Coleoptera.D,0.157143667,0.014973125,0.281118541,0.95,mode,hdi,Syrphidae.D,Coleoptera.D,sig***
245,Syrphidae.E - Coleoptera.E,0.7315803,0.2877746,1.204242654,0.95,mode,hdi,Syrphidae.E,Coleoptera.E,sig***
255,Lepidoptera.A - Diptera.A,-0.137534677,-0.230261667,-0.06491965,0.95,mode,hdi,Lepidoptera.A,Diptera.A,sig***
260,Syrphidae.A - Diptera.A,-0.093985697,-0.176728834,-0.018547125,0.95,mode,hdi,Syrphidae.A,Diptera.A,sig***
279,Syrphidae.B - Diptera.B,0.200531265,0.049141476,0.366597688,0.95,mode,hdi,Syrphidae.B,Diptera.B,sig***
