"","db","query","family","order","Pollinator"
"583","ncbi","397",NA,NA,"Cerioides"
"586","ncbi","493",NA,NA,"Clytiomyia"
"587","ncbi","527",NA,NA,"Coreidae"
"589","ncbi","578",NA,NA,"Cuphocera"
"590","ncbi","597",NA,NA,"Cytherea"
"593","ncbi","659",NA,NA,"Diphyrus"
"596","ncbi","857",NA,NA,"Exhyalanthrax"
"614","ncbi","1296",NA,NA,"Mesanthidium"
"616","ncbi","1314",NA,NA,"Metopoplax"
"628","ncbi","1650",NA,NA,"Phaniosoma"
"640","ncbi","2010",NA,NA,"Stelis"
"643","ncbi","2047",NA,NA,"Strymonidia"
"647","ncbi","2149",NA,NA,"Trianthidium"
"653","ncbi","2059",NA,NA,"Syntarucus"
"655","ncbi","714",NA,NA,"Ells"
"656","ncbi","771",NA,NA,"Eristalodes"
"657","ncbi","1293",NA,NA,"Meria"
"662","ncbi","977",NA,NA,"Heliotaurus"
"663","ncbi","1131",NA,NA,"Lathyrophthalmus"
"665","ncbi","1441",NA,NA,"Nustera"
"671","ncbi","398",NA,NA,"Cerocala"
"674","ncbi","661",NA,NA,"Discestra"
"675","ncbi","662",NA,NA,"Dischistus"
"676","ncbi","699",NA,NA,"Edema"
"687","ncbi","1374",NA,NA,"Mylabrix"
"688","ncbi","1384",NA,NA,"Mythimma"
"689","ncbi","1545",NA,NA,"Palleira"
"695","ncbi","1790",NA,NA,"Pryonix"
"700","ncbi","2184",NA,NA,"Udaea"
"702","ncbi","1848",NA,NA,"Pyonia"
"706","ncbi","2185",NA,NA,"Undefined"
"710","ncbi","736",NA,NA,"Eoseristalis"
"713","ncbi","403",NA,NA,"Ceuthorrhynchus"
"718","ncbi","2045",NA,NA,"Strophosomus"
"727","ncbi","1320",NA,NA,"Miccotrogus"
"731","ncbi","1082",NA,NA,"Incurviseta"
"732","ncbi","2187",NA,NA,"Unientified"
"733","ncbi","649",NA,NA,"Dilophus"
"734","ncbi","860",NA,NA,"Exonera"
"735","ncbi","1729",NA,NA,"Poecilohetaerus"
"738","ncbi","1610",NA,NA,"Pelecorhychus"
"741","ncbi","69",NA,NA,"Alophera"
"742","ncbi","833",NA,NA,"Euryglossa"
"745","ncbi","410",NA,NA,"Chaetophthalamus"
"746","ncbi","453",NA,NA,"Chloromerus"
"747","ncbi","655",NA,NA,"Diostracus"
"750","ncbi","1768",NA,NA,"Prohardya"
"754","ncbi","1938",NA,NA,"Sciari"
"759","ncbi","2071",NA,NA,"Tachinidae"
"760","ncbi","321",NA,NA,"Calliphoridae"
"763","ncbi","1645",NA,NA,"Phalacrodira"
"764","ncbi","1719",NA,NA,"Plebius"
"765","ncbi","5",NA,NA,"Acarina"
"769","ncbi","411",NA,NA,"Chalcidae"
"772","ncbi","1333",NA,NA,"Microspectra"
"775","ncbi","1603",NA,NA,"Pectinarctica"
"777","ncbi","2085",NA,NA,"Tarentula"
"778","ncbi","2161",NA,NA,"Tridymus"
"779","ncbi","772",NA,NA,"Eristalomya"
"780","ncbi","787",NA,NA,"Eucetonia"
"781","ncbi","152",NA,NA,"Anthromacra"
"782","ncbi","273",NA,NA,"Bombylus"
"785","ncbi","1430",NA,NA,"Nonartha"
"787","ncbi","1584",NA,NA,"Parastrangalis"
"788","ncbi","755",NA,NA,"Epistotophe"
"790","ncbi","894",NA,NA,"Ganoxanthus"
"795","ncbi","264",NA,NA,"Blitopertha"
"797","ncbi","1265",NA,NA,"Megaspis"
"810","ncbi","537",NA,NA,"Corymbas"
"811","ncbi","623",NA,NA,"Demonax"
"815","ncbi","1077",NA,NA,"Idiostrangalia"
"816","ncbi","1080",NA,NA,"Imatisma"
"817","ncbi","1100",NA,NA,"Japanostrangalia"
"819","ncbi","1178",NA,NA,"Linoetis"
"820","ncbi","1276",NA,NA,"Melanotus"
"822","ncbi","1480",NA,NA,"Onomaus"
"826","ncbi","2043",NA,NA,"Strombocerina"
"828","ncbi","2148",NA,NA,"Tremus"
"832","ncbi","126",NA,NA,"Anostinus"
"836","ncbi","201",NA,NA,"Athemellus"
"837","ncbi","253",NA,NA,"Bhaphuma"
"842","ncbi","380",NA,NA,"Cephenius"
"845","ncbi","479",NA,NA,"Chrystogaster"
"848","ncbi","539",NA,NA,"Corymia"
"851","ncbi","627",NA,NA,"Dere"
"856","ncbi","759",NA,NA,"Epotiocerus"
"857","ncbi","807",NA,NA,"Eulype"
"859","ncbi","873",NA,NA,"Ferusa"
"860","ncbi","965",NA,NA,"Harmonia"
"866","ncbi","1247",NA,NA,"Mashumyia"
"868","ncbi","1289",NA,NA,"Meluscaeva"
"869","ncbi","1311",NA,NA,"Metialina"
"870","ncbi","1319",NA,NA,"Micadocantharis"
"871","ncbi","1337",NA,NA,"Milesia"
"878","ncbi","1588",NA,NA,"Paratrichius"
"879","ncbi","1602",NA,NA,"Pecticus"
"880","ncbi","1608",NA,NA,"Pelatines"
"883","ncbi","1803",NA,NA,"Pseudaosterna"
"885","ncbi","1860",NA,NA,"Pyrrhona"
"886","ncbi","1936",NA,NA,"Schwarzerium"
"891","ncbi","2037",NA,NA,"Strangalomorpha"
"892","ncbi","2042",NA,NA,"Strogylogaster"
"893","ncbi","2061",NA,NA,"Syreta"
"895","ncbi","2078",NA,NA,"Takaomyia"
"900","ncbi","2219",NA,NA,"Xanthochroa"
"903","ncbi","2130",NA,NA,"Thysanoptera"
"905","ncbi","443",NA,NA,"Chironomidae"
"906","ncbi","451",NA,NA,"Chlorobrachycoma"
