"","intera",".value",".lower",".upper",".width",".point",".interval","group1","group2"
"1","Andrenidae.B - Andrenidae.A",-0.0195517213354277,-0.61249345706003,0.63242847337656,0.95,"mode","hdi","Andrenidae.B","Andrenidae.A"
"2","Andrenidae.C - Andrenidae.A",-0.070387636516106,-0.507885544694955,0.369024676058014,0.95,"mode","hdi","Andrenidae.C","Andrenidae.A"
"3","Andrenidae.D - Andrenidae.A",-0.0212737330176973,-0.570241536663514,0.497714177374572,0.95,"mode","hdi","Andrenidae.D","Andrenidae.A"
"4","Andrenidae.E - Andrenidae.A",-0.085441528611746,-0.710540520835005,0.548880484193863,0.95,"mode","hdi","Andrenidae.E","Andrenidae.A"
"5","Anthomyiidae.A - Andrenidae.A",-0.198303677774977,-1.58189134048242,0.883693072697747,0.95,"mode","hdi","Anthomyiidae.A","Andrenidae.A"
"6","Anthomyiidae.B - Andrenidae.A",-0.503841229610291,-2.19543084274321,0.446558224682609,0.95,"mode","hdi","Anthomyiidae.B","Andrenidae.A"
"7","Anthomyiidae.C - Andrenidae.A",-0.268635097806575,-0.854320181712823,0.239532219593721,0.95,"mode","hdi","Anthomyiidae.C","Andrenidae.A"
"8","Anthomyiidae.D - Andrenidae.A",-0.381691459697159,-1.24267278075188,0.446479003127937,0.95,"mode","hdi","Anthomyiidae.D","Andrenidae.A"
"9","Anthomyiidae.E - Andrenidae.A",0.0742638949922929,-0.737803355341517,0.778494219196732,0.95,"mode","hdi","Anthomyiidae.E","Andrenidae.A"
"10","Apidae.A - Andrenidae.A",1.39862420905645,1.05121179082365,1.75132749531855,0.95,"mode","hdi","Apidae.A","Andrenidae.A"
"11","Apidae.B - Andrenidae.A",0.927594875353275,0.323707733091001,1.39779834570689,0.95,"mode","hdi","Apidae.B","Andrenidae.A"
"12","Apidae.C - Andrenidae.A",1.08096025644447,0.666802855488028,1.49368370552674,0.95,"mode","hdi","Apidae.C","Andrenidae.A"
"13","Apidae.D - Andrenidae.A",1.1512970597519,0.641324579995774,1.67166975587968,0.95,"mode","hdi","Apidae.D","Andrenidae.A"
"14","Apidae.E - Andrenidae.A",0.146630965838654,-0.467430320759334,0.743716175454554,0.95,"mode","hdi","Apidae.E","Andrenidae.A"
"15","Bombyliidae.A - Andrenidae.A",0.444596081261719,-0.104901906535624,0.795397572838377,0.95,"mode","hdi","Bombyliidae.A","Andrenidae.A"
"16","Bombyliidae.B - Andrenidae.A",0.143849059612247,-0.494777315209598,0.667266666009053,0.95,"mode","hdi","Bombyliidae.B","Andrenidae.A"
"17","Bombyliidae.C - Andrenidae.A",-0.311538292294259,-0.815298205318804,0.191277056254446,0.95,"mode","hdi","Bombyliidae.C","Andrenidae.A"
"18","Bombyliidae.D - Andrenidae.A",-0.335394446403826,-1.24456732377199,0.400425313290904,0.95,"mode","hdi","Bombyliidae.D","Andrenidae.A"
"19","Bombyliidae.E - Andrenidae.A",0.560973445192431,-0.159644059221851,1.28628866475248,0.95,"mode","hdi","Bombyliidae.E","Andrenidae.A"
"20","Braconidae.A - Andrenidae.A",-0.35735490392847,-1.18348319530255,0.239660318173657,0.95,"mode","hdi","Braconidae.A","Andrenidae.A"
"21","Braconidae.B - Andrenidae.A",-0.550729858896794,-1.76858890256595,0.259742833989664,0.95,"mode","hdi","Braconidae.B","Andrenidae.A"
"22","Braconidae.C - Andrenidae.A",-0.651070222327979,-1.44871170980301,0.0378739132252468,0.95,"mode","hdi","Braconidae.C","Andrenidae.A"
"23","Braconidae.D - Andrenidae.A",-0.825066852407685,-2.97385103239506,0.527677399975497,0.95,"mode","hdi","Braconidae.D","Andrenidae.A"
"24","Braconidae.E - Andrenidae.A",-0.864030212294564,-2.16875750645314,0.173437599719681,0.95,"mode","hdi","Braconidae.E","Andrenidae.A"
"25","Calliphoridae.A - Andrenidae.A",0.345431863074872,-0.0115532881035003,0.730934704483577,0.95,"mode","hdi","Calliphoridae.A","Andrenidae.A"
"26","Calliphoridae.B - Andrenidae.A",0.0560009938254249,-0.597706873143653,0.616176589490302,0.95,"mode","hdi","Calliphoridae.B","Andrenidae.A"
"27","Calliphoridae.C - Andrenidae.A",-0.267533909249779,-0.780625866117727,0.207793058357574,0.95,"mode","hdi","Calliphoridae.C","Andrenidae.A"
"28","Calliphoridae.D - Andrenidae.A",-0.42557090715094,-1.25864369536175,0.332187654196261,0.95,"mode","hdi","Calliphoridae.D","Andrenidae.A"
"29","Calliphoridae.E - Andrenidae.A",-0.358339837824926,-1.16662717266282,0.350900150501221,0.95,"mode","hdi","Calliphoridae.E","Andrenidae.A"
"30","Cantharidae.A - Andrenidae.A",-0.713318703475232,-2.08920658789918,0.371764046815997,0.95,"mode","hdi","Cantharidae.A","Andrenidae.A"
"31","Cantharidae.B - Andrenidae.A",-0.462865807924461,-2.13430549212797,0.531751485636787,0.95,"mode","hdi","Cantharidae.B","Andrenidae.A"
"32","Cantharidae.C - Andrenidae.A",-0.8811226304353,-1.40722021239283,-0.288191536631856,0.95,"mode","hdi","Cantharidae.C","Andrenidae.A"
