"","db","query","family","order","Genus"
"1893","ncbi","1000",NA,NA,"Hippelates"
"1894","ncbi","1403",NA,NA,"Neotrypetes"
"1895","ncbi","130",NA,NA,"Anthemurgus"
"1897","ncbi","1426",NA,NA,"Notozus"
"1898","ncbi","368",NA,NA,"Cemonus"
"1900","ncbi","240",NA,NA,"Batizonus"
"1902","ncbi","260",NA,NA,"Blepharipeza"
"1903","ncbi","1006",NA,NA,"Holonomada"
"1904","ncbi","1127",NA,NA,"Leionotus"
"1908","ncbi","1057",NA,NA,"Hypostena"
"1909","ncbi","1174",NA,NA,"Lispa"
"1913","ncbi","371",NA,NA,"Centrinites"
"1915","ncbi","583",NA,NA,"Cynomyia"
"1916","ncbi","1424",NA,NA,"Notogonidea"
"1921","ncbi","1159",NA,NA,"Limochores"
"1923","ncbi","2207",NA,NA,"Xenoglossa"
"1924","ncbi","1441",NA,NA,"Ocyptera"
"1925","ncbi","386",NA,NA,"Ceratoma"
"1934","ncbi","1824",NA,NA,"Pterandrena"
"1935","ncbi","1966",NA,NA,"Smicra"
"1939","ncbi","951",NA,NA,"Hammomyia"
"1946","ncbi","274",NA,NA,"Borborus"
"1952","ncbi","1694",NA,"Plagiotomida","Plagiotoma"
"1953","ncbi","1903",NA,NA,"Sayapis"
"1954","ncbi","575",NA,NA,"Curtisapis"
"1956","ncbi","1810",NA,NA,"Pseudosiobla"
"1959","ncbi","1148",NA,NA,"Leucosmia"
"1966","ncbi","2203",NA,NA,"Xanthomelana"
"1967","ncbi","1214",NA,NA,"Macrobasis"
"1968","ncbi","129",NA,NA,"Anthedon"
"1970","ncbi","1604",NA,"Coleoptera","Pentaria"
"1972","ncbi","433",NA,NA,"Chelynia"
"1973","ncbi","816",NA,NA,"Eupsyche"
"1975","ncbi","1744",NA,NA,"Priocnemoides"
"1976","ncbi","1830",NA,NA,"Ptilandrena"
"1977","ncbi","348",NA,NA,"Carneades"
"1982","ncbi","1322",NA,NA,"Microstelis"
"1983","ncbi","1655",NA,NA,"Phorantha"
"1984","ncbi","1779",NA,NA,"Psammochares"
"1985","ncbi","2010",NA,NA,"Stictiella"
"1987","ncbi","74",NA,NA,"Alyson"
"1989","ncbi","672",NA,NA,"Drepanium"
"1991","ncbi","975",NA,NA,"Heminomada"
"1992","ncbi","1523",NA,NA,"Pachymeria"
"1993","ncbi","2099",NA,NA,"Therioplectes"
"1994","ncbi","2232",NA,NA,"Zendalia"
"1997","ncbi","228",NA,NA,"Babia"
"1998","ncbi","281",NA,NA,"Brachycoma"
"2001","ncbi","1643",NA,NA,"Philampelus"
"2003","ncbi","2213",NA,NA,"Xestocrabro"
"2005","ncbi","54",NA,NA,"Aldrichia"
"2006","ncbi","87",NA,NA,"Ammobia"
"2007","ncbi","565",NA,NA,"Cryptorhopalum"
"2009","ncbi","743",NA,NA,"Epimelissodes"
"2010","ncbi","983",NA,NA,"Heodes"
"2011","ncbi","1023",NA,NA,"Hyalomyodes"
"2013","ncbi","1745",NA,NA,"Priononyx"
"2014","ncbi","1880",NA,NA,"Robertsonomyia"
"2015","ncbi","2208",NA,NA,"Xenoglossodes"
"2017","ncbi","549",NA,NA,"Cremastogaster"
"2018","ncbi","589",NA,NA,"Cyphopyga"
"2020","ncbi","718",NA,NA,"Enoplium"
"2021","ncbi","754",NA,NA,"Epurea"
"2022","ncbi","1917",NA,NA,"Scepsis"
"2024","ncbi","328",NA,NA,"Calythea"
"2025","ncbi","394",NA,NA,"Ceria"
"2026","ncbi","520",NA,NA,"Cordylura"
"2029","ncbi","1695",NA,NA,"Planiceps"
"2030","ncbi","2075",NA,NA,"Telephorus"
"2032","ncbi","367",NA,NA,"Cemolobus"
"2033","ncbi","432",NA,NA,"Chelostomoides"
"2034","ncbi","487",NA,NA,"Clusia"
"2037","ncbi","1015",NA,NA,"Hoplisus"
"2038","ncbi","1256",NA,NA,"Megilla"
"2039","ncbi","1528",NA,NA,"Padabrus"
"2041","ncbi","1787",NA,NA,"Pseudagenia"
"2044","ncbi","403",NA,NA,"Chaerocampa"
"2049","ncbi","1186",NA,NA,"Lophopompilus"
"2052","ncbi","1556",NA,NA,"Paralictus"
"2053","ncbi","1770",NA,NA,"Protoparee"
"2054","ncbi","372",NA,NA,"Centrinus"
"2056","ncbi","586",NA,NA,"Cyphocera"
"2057","ncbi","1364",NA,NA,"Myodites"
"2060","ncbi","2150",NA,NA,"Trirhoptrasema"
"2061","ncbi","124",NA,NA,"Anosia"
"2062","ncbi","256",NA,NA,"Biomyia"
"2063","ncbi","525",NA,NA,"Coriscus"
"2066","ncbi","946",NA,NA,"Haltica"
"2067","ncbi","1610",NA,NA,"Peponapis"
"2068","ncbi","2135",NA,NA,"Trichophora"
"2069","ncbi","167",NA,NA,"Araba"
"2070","ncbi","311",NA,NA,"Callida"
"2071","ncbi","389",NA,NA,"Ceratosmia"
"2074","ncbi","505",NA,NA,"Compsomyia"
"2076","ncbi","717",NA,NA,"Ennyomma"
"2077","ncbi","1066",NA,NA,"Idiostethus"
"2078","ncbi","1075",NA,NA,"Iomelissa"
"2082","ncbi","1323",NA,NA,"Midas"
"2083","ncbi","1360",NA,NA,"Myiolepta"
"2087","ncbi","1822",NA,NA,"Psysocephala"
"2089","ncbi","1944",NA,NA,"Seracosomus"
"2090","ncbi","1961",NA,NA,"Siphoplagia"
"2091","ncbi","1970",NA,NA,"Sophropompilus"
"2092","ncbi","2049",NA,NA,"Systogaster"
"2093","ncbi","2102",NA,NA,"Thlipsogaster"
"2097","ncbi","195",NA,NA,"Astatus"
"2102","ncbi","836",NA,NA,"Eutelus"
"2104","ncbi","1039",NA,NA,"Hylemyia"
"2105","ncbi","1149",NA,NA,"Leucostoma"
"2109","ncbi","2226",NA,NA,"Zaodontomerus"
"2110","ncbi","2227",NA,NA,"Zaperdita"
"2111","ncbi","112",NA,NA,"Angitia"
"2112","ncbi","145",NA,NA,"Anthomyiella"
"2113","ncbi","268",NA,NA,"Bombias"
"2114","ncbi","419",NA,NA,"Charidryas"
"2117","ncbi","1143",NA,NA,"Leskiomima"
"2118","ncbi","1185",NA,NA,"Lophocrabro"
"2120","ncbi","1421",NA,NA,"Nothus"
"2121","ncbi","1460",NA,NA,"Oligotropus"
"2122","ncbi","1516",NA,NA,"Oxystoglossa"
"2123","ncbi","1536",NA,NA,"Pamphila"
"2124","ncbi","1654",NA,NA,"Phoramia"
"2126","ncbi","1932",NA,NA,"Scotiptera"
"2127","ncbi","2022",NA,NA,"Stratiomyia"
"2128","ncbi","2090",NA,NA,"Teuchocnemis"
"2132","ncbi","412",NA,NA,"Chalcomyia"
"2135","ncbi","710",NA,NA,"Emphor"
"2140","ncbi","1363",NA,NA,"Myocera"
"2142","ncbi","1560",NA,NA,"Paranomia"
"2144","ncbi","1993",NA,NA,"Stelidium"
"2145","ncbi","2169",NA,NA,"Uranotes"
"2146","ncbi","2205",NA,NA,"Xanthosarus"
