"","pairs","F.Model","R2","p.value","p.adjusted","sig"
"1","C vs D",6.49615147673281,0.0896068459415767,0.016,0.016,"."
"2","C vs B",34.0192101976723,0.31493666853718,0.001,0.00142857142857143,"*"
"3","C vs E",12.7304490529247,0.15966859843564,0.002,0.0025,"*"
"4","C vs A",186.286821827621,0.570929652580444,0.001,0.00142857142857143,"*"
"5","D vs B",27.1973976324275,0.492729708265259,0.001,0.00142857142857143,"*"
"6","D vs E",4.21984026731301,0.167322244018423,0.013,0.0144444444444444,"."
"7","D vs A",30.2048030575478,0.243185467179985,0.001,0.00142857142857143,"*"
"8","B vs E",15.9044318181898,0.354184012005409,0.001,0.00142857142857143,"*"
"9","B vs A",28.5112509432844,0.218458184541304,0.001,0.00142857142857143,"*"
"10","E vs A",27.1537331185121,0.222291471781447,0.001,0.00142857142857143,"*"
